NMI,MIRN
44072967104,55102558815
41040425232,53212064756
64077856977,53212950870
63053265923,53203465029
QB083425551,53201990113
SAAAAAC4833,55105570354
31151189679,52481932541
31201585752,52405597448
QB074460476,52404502517
64082805333,52404608859
41022337346,53313445670
KI0SK,52404710283
41020268973,52482663996
40011525207,52404609188
43112786987,52470036191
31202830461,52471303201
3053002622,52404716019
41020210721,53303466470
43112430463,52471827248
62039094886,54100105944
40012073238,52403542446
41029471562,53305510064
W0D0NGAVIC,52469861609
64078104791,53220214301
43112791015,53101718415
40011524975,53212063930
40011525504,53107785085
40011524712,53211536424
20023187928,53210241092
43104555698,55102427258
43112486168,54100665473
40013270603,52472085582
61023198104,52402176315
ENN0003003,52408202780
40011525702,53305539004
40011744523,52402974310
40011744580,53203452496
64081065683,53203369336
41030920038,52402105067
41030920046,53210251455
41030920054,53106748637
63059779364,55105719826
40012715572,57675013471
60012710715,53105965225
E4MB00W005,53105714194
40011744838,53309486952
40011524950,53312554886
40011524760,53312872171
40011524803,52471345400
40011524811,54100133184
40011525247,52725011890
40011525429,52403935624
41020195469,53308990039
61027790400,52408848161
41038066819,52470794706
40011525512,53235858198
61024015595,52420707916
42040032795,52422156574
43100285381,53109340915
43103425827,52454338413
43111769705,54201034446
43107919109,53106392881
42040282224,54200889590
40011525775,52409092217
62038758357,53211451749
VEEE07XNYN6,53307817125
40011744622,53305947898
40011744895,53237858385
40011745102,53211525294
QB062358915,54101625403
QB019673210,52405842068
20013918763,53104958917
61024388116,5600402490
41038462097,53108720982
43103955997,53109353641
PR0CEEDIN65,52471903925
64073283853,53312959530
43105002741,53238075406
41034874799,52408610169
31200802612,53202320417
41038529250,52483491497
41030514889,53109728727
41040657868,52483150369
41020075869,53203465013
41037820320,53313338841
41020304977,54201240498
41034115413,53105407757
41034868684,53108349212
61025832128,55105162747
44070281698,52470005503
61023632629,52420029575
QB072193519,53100606546
62034109500,53210329103
61025132496,53106128485
20025624027,52483464205
41032321508,54100739962
41020236008,54101793876
31201086514,52420308466
41030800446,52470674171
62039396257,54200922979
60015215487,53104169499
61027400694,52470385167
80002410554,53213381076
64076583390,53238128410
62039956563,53309337360
64077680684,53100691548
41035118364,55106715164
61027790242,52404340306
0,52471324965
20016967619,53107896527
62031224332,53104390541
80010167659,54101625435
62031297536,52403998556
3261621971,52400285826
61022017337,53305436778
40011082926,52470419116
214166421,52408308223
40011082942,52400276131
QB131742404,52407005304
117997,52471241749
61026237129,52400276040
31203678264,53312287461
4407187763,54101625411
61027013547,52404073212
61025098846,52482380404
QB054426309,57627001009
61030529892,53305776272
43114013549,52471828668
43111125578,53301943167
41037156058,53106804960
61024819103,52406012853
61024020101,52402433844
43112837730,53212066728
41020088423,52469966777
61030496103,53313668289
61020490099,53110191219
61026792024,53306212822
43112114812,54201227361
ENVCH096818,53220211638
63050081228,52400833772
70011955029,52400833830
63052755123,5600402396
43103047994,54201050602
20010034269,52471505665
INV04421652,55105697767
43113359611,53105465572
20235474812,53212067254
8000175148,52484311563
20016803532,58200200222
60010529750,52416381478
64071722548,53108680534
41029540509,52470740080
NEEE005247,53313664669
41020143343,52482018194
41040257493,53211279775
41034780116,53304247508
62030576221,52416432080
70011956570,55105552350
70011955509,53102349408
62036364629,55104989924
61030520126,53301551054
70013286843,53217089510
62031423075,52484174498
64072322850,53300298785
60010418566,52477171396
60010506478,53211824232
60010506445,53214260700
60014761440,53300517915
60011280362,53312323349
61020821129,55100895029
61028308714,53214121282
61021431836,53311463444
64073886234,52406066461
80000073643,54200371809
61022287112,53202733797
40012139188,52409282541
41040603855,53102936690
60011313758,0
31162787213,53200889072
20023086378,56009869312
3051860384,5600620316
8001366989,53312704325
64073296731,53108771589
QB078326211,53101794068
60013295977,53238114568
41039211396,54101583659
41038267256,52402055709
